Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2020-10-06,2523.9453125,2544.123439109613,2464.2477245738087,2544.123439109613,9846367
2020-10-07,2544.075927734375,2575.7380235723153,2513.4367789588337,2549.7016825398155,9656101
2020-10-08,2627.5322265625,2682.673533858064,2603.6346255814833,2603.6346255814833,19839329
2020-10-09,2615.67724609375,2631.3921821509716,2585.038081147261,2612.934175548131,7739245
2020-10-12,2631.53125,2653.8481227915195,2604.332561285336,2618.0481393551236,4623203
2020-10-13,2628.3232421875,2654.6849119334934,2614.979521203957,2645.4792927242197,4209878
2020-10-14,2623.700927734375,2653.957067712699,2603.109835921985,2653.957067712699,4395936
2020-10-15,2559.265869140625,2640.649421143721,2546.565633970092,2625.007699702944,6629355
2020-10-16,2580.464111328125,2588.261490169071,2550.5814166864343,2568.137545385801,5273773
2020-10-19,2532.138427734375,2590.456333848917,2527.515993572361,2590.456333848917,3331194
2020-10-20,2557.771484375,2577.2885249887518,2538.1142318604766,2544.6978075654893,3406273
2020-10-21,2498.3798828125,2567.110169898301,2486.847167440832,2557.771828065277,4570143
2020-10-22,2494.41064453125,2508.8850718018084,2463.5476126438057,2484.932320448806,5262294
2020-10-23,2509.025634765625,2523.2198682196754,2493.430650089395,2509.959468913745,3499091
2020-10-26,2510.3330078125,2530.6439013143467,2493.804188353197,2511.9672176344875,2672752
2020-10-27,2456.123291015625,2538.300679238544,2450.473777964744,2521.11822562302,3537502
2020-10-28,2448.7001953125,2480.217102158167,2433.5721256239567,2474.6608338079373,3569445
2020-10-29,2458.45849609375,2479.329781494295,2428.2023594465313,2435.439574439594,3105968
2020-10-30,2488.52783203125,2497.399255765399,2448.1395081889405,2461.6801023094836,3427003
2020-11-02,2432.264404296875,2488.5279091975904,2428.015413516133,2483.9987225876093,2571196
2020-11-03,2459.345703125,2488.668004174567,2428.9493560132273,2431.704121152185,2879269
2020-11-04,2477.602294921875,2541.756891470479,2437.3074374854036,2437.3074374854036,4893928
2020-11-05,2507.998291015625,2530.690506095698,2490.5356382867994,2507.3446527184315,2816502
2020-11-06,2528.309326171875,2533.725610058509,2503.889653355552,2520.4184728823057,3884421
2020-11-09,2546.192138671875,2562.440760755985,2516.7763646325843,2550.3943921060595,3646592
2020-11-10,2474.286865234375,2533.631838525092,2463.7812318527526,2518.737230572515,4760020
2020-11-11,2509.958984375,2514.628154214232,2468.496619410533,2491.422288918525,3242441
2020-11-12,2494.3173828125,2533.491674010095,2485.6326809054076,2508.278155691528,2437505
2020-11-13,2481.05712890625,2488.5743107464464,2461.5865974396593,2480.029820239141,2548093
2020-11-14,2493.6650390625,2511.08096122842,2484.0464981506266,2500.7620444441327,298819
2020-11-17,2489.64794921875,2516.682395401305,2474.706606611544,2516.682395401305,2827273
2020-11-18,2452.855224609375,2487.920740333499,2434.5522132128117,2484.9325168388395,2893762
2020-11-19,2462.42724609375,2499.080237480823,2456.7777317216633,2462.5207207060403,4167501
2020-11-20,2484.23193359375,2498.9398193015227,2453.695606959739,2479.3293050244924,2711471
2020-11-23,2543.998046875,2549.367594005231,2488.668365576535,2512.014222664495,3706418
2020-11-24,2541.94384765625,2561.5076317655735,2526.021926330979,2553.4765651303514,3120516
2020-11-25,2522.56591796875,2552.1216739070874,2510.3326009464317,2548.433075075523,3302249
2020-11-26,2540.589111328125,2550.254157348042,2502.6753561558057,2508.278360684513,2341099
2020-11-27,2502.348876953125,2537.8813160489153,2492.4503706156024,2526.021666575861,6086808
2020-12-01,2546.379150390625,2554.8769048459817,2450.801128516845,2501.741829888925,3605017
2020-12-02,2567.6240234375,2572.4331786597536,2523.640338797905,2539.0953413275984,2509032
2020-12-03,2530.1767578125,2590.3623199878407,2522.0991840385173,2590.3623199878407,2852548
2020-12-04,2547.080078125,2557.63245250373,2520.4190602526214,2531.438351834066,2686527
2020-12-07,2556.5576171875,2562.44081772352,2527.0951051910138,2535.3596283233805,1996400
2020-12-08,2612.21435546875,2619.9184873303448,2551.6551186710476,2558.7056122144845,4277818
2020-12-09,2624.8212890625,2652.0892028749668,2608.3389781750448,2628.7433472158564,3659996
2020-12-10,2600.07470703125,2640.2295791505103,2596.2926327807822,2631.5448751645517,2127801
2020-12-11,2599.420654296875,2621.925918988736,2581.631069352225,2607.9184076916636,1795408
2020-12-14,2612.588134765625,2618.4713363612464,2573.880749231699,2616.6036677903753,2483658
2020-12-15,2578.82958984375,2609.7860988886505,2572.7129309260317,2601.6617878620414,2365509
2020-12-16,2627.99609375,2633.225656332828,2577.8025067661606,2595.12517633656,2565149
2020-12-17,2650.407958984375,2664.8823878727612,2619.4047117369437,2625.0077164679315,2863460
2020-12-18,2671.69970703125,2706.2515732179527,2657.878914959195,2678.236546580086,6076692
2020-12-21,2633.55224609375,2695.5122321802833,2600.7280674249396,2671.6994617245073,2705195
2020-12-22,2682.438720703125,2692.8508807654166,2632.1516581907595,2646.4861042550588,2881737
2020-12-23,2716.289794921875,2725.8615939413676,2675.8547349299697,2685.7534670619325,2790988
2020-12-24,2716.8505859375,2728.0565961930256,2692.4306851302167,2716.523652776969,1807144
2020-12-28,2735.573974609375,2754.530855577756,2709.9870072245426,2717.4576812623773,2108994
2020-12-29,2736.600830078125,2756.678263228331,2726.7955720280243,2726.7955720280243,1994151
2020-12-30,2716.803466796875,2752.66260337998,2709.986432585493,2740.2425648283106,2637968
2020-12-31,2673.333740234375,2712.788233475106,2656.7581839024706,2708.1190626773864,4040956
2021-01-01,2734.49951171875,2745.472061624904,2688.5081855163603,2689.4420195509265,2681440
2021-01-04,2838.341552734375,2848.893921963034,2746.358908691645,2754.810151533541,5113293
2021-01-05,2888.34912109375,2908.193097434921,2838.482467035857,2838.482467035857,5801309
2021-01-06,2849.594482421875,2907.4921910603007,2836.2406104772613,2894.8854319212887,3726716
2021-01-07,2832.13232421875,2877.00310180892,2801.7359763036766,2871.540080704543,3717827
2021-01-08,2914.402587890625,2921.0329008231583,2857.5321855878724,2885.547207015204,5879039
2021-01-11,2966.277587890625,3016.2844547108357,2938.356036609874,3016.2844547108357,9508039
2021-01-12,2964.783935546875,2997.6081201853003,2941.5780618640797,2966.2779336433064,3611458
2021-01-13,2949.935546875,2966.791300047399,2919.3992136522447,2964.9236316180336,3572801
2021-01-14,3041.39111328125,3056.1738151045743,2919.480935006227,2951.853172097025,6931542
2021-01-15,3025.158203125,3063.190702488606,3003.311592849244,3026.70187005212,4131692
2021-01-18,3014.3056640625,3047.0520591093496,2982.167324983945,3040.7366829217426,4160906
2021-01-19,3050.74755859375,3067.8692901607665,3023.895561390545,3024.8311726409756,2975735
2021-01-20,3095.750732421875,3113.6675975486955,3056.7357866780217,3059.448968094891,3453446
2021-01-21,3063.05078125,3096.077673471921,3052.05734978365,3092.1949784074054,2778546
2021-01-22,3090.417724609375,3110.907520367718,3033.1581312723433,3033.1581312723433,3052459
2021-01-25,3079.3779296875,3124.7550838132747,3067.5423081053327,3095.8913799752777,2272887
2021-01-27,3051.0751953125,3093.551855847165,3019.2175857011403,3087.5172088050085,2786662
2021-01-28,2990.727783203125,3064.1264301746214,2978.7987413757273,3022.0239296073364,3083938
2021-01-29,2911.014404296875,3009.721399657077,2900.395124328218,3003.359196926017,5445659
2021-02-01,2937.211669921875,2961.2100103913453,2848.0946861968278,2900.395270841444,3985846
2021-02-02,2997.18359375,3016.4104492143365,2947.1752217819976,2969.6298901384316,2881837
2021-02-03,2994.003173828125,3027.6383564862763,2959.011171963385,3006.1192952380734,2505866
2021-02-04,2983.1494140625,3029.368743296538,2971.501100583458,3008.972373937109,2057261
2021-02-05,2954.61376953125,2999.429689527949,2927.5278670685025,2992.9738342643304,2366135
2021-02-08,3007.148193359375,3018.2818758045037,2951.9937277403874,2984.1320653684015,2526592
2021-02-09,2972.343505859375,3036.8072627452952,2960.274211221109,2989.278162089584,2658751
2021-02-10,3006.400390625,3012.107483555465,2954.0061481587854,2979.9225402659554,2127983
2021-02-11,2999.5693359375,3012.01300987116,2979.9683281007738,3007.9898362567255,1165882
2021-02-12,2985.34814453125,3036.5260294622976,2977.1147206128585,2979.1730194872825,2777404
2021-02-15,2937.67919921875,3002.3766285307024,2929.9135798303964,3002.3766285307024,2630853
2021-02-16,2908.628173828125,2963.6887564557305,2900.3947495002412,2947.1753099760517,3435770
2021-02-17,2875.226806640625,2931.129574607018,2849.4506729652862,2905.1663643799484,3678426
2021-02-18,2860.4912109375,2898.430065242326,2835.837762576833,2867.6485457928056,4189909
2021-02-19,2874.05712890625,2888.3717963981735,2821.943406449056,2861.098823442268,3725028
2021-02-22,2767.959228515625,2896.6526096173643,2753.644329818835,2896.6526096173643,5366696
2021-02-23,2788.308349609375,2833.0306090023355,2776.8939390749447,2778.7651614058577,3832829
2021-02-24,2758.275146484375,2809.967659219752,2733.060244866053,2780.636160172675,3774549
2021-02-25,2802.43603515625,2834.8080428758944,2777.314785200414,2782.5074726037674,4224073
2021-02-26,2707.939453125,2780.963950576668,2694.5601677192,2769.409061266955,5553153
2021-03-01,2735.914794921875,2774.0877855129143,2714.9571910471773,2737.5989411166233,3265871
2021-03-02,2812.77490234375,2830.2239603508524,2758.181895905558,2769.409230624305,3306469
2021-03-03,2862.128173828125,2866.7125771164638,2803.9329772871833,2839.5798536385337,3509857
2021-03-04,2853.333984375,2883.0396457365696,2821.850752756943,2828.3532061739875,3916760
2021-03-05,2814.365478515625,2865.9643478097796,2803.652775340567,2821.8971947951018,3203686
2021-03-08,2813.33642578125,2837.7091464622117,2803.091527464816,2821.8037539498946,2003125
2021-03-09,2854.50341796875,2869.4263733974562,2799.4428267772137,2813.336518347082,1942397
2021-03-10,2873.21533203125,2894.0326824127824,2862.97043449392,2877.004603290459,3053778
2021-03-12,2861.052001953125,2916.299884721904,2845.5209942874153,2877.004217362802,2938317
2021-03-15,2868.723876953125,2899.458792892718,2845.1933492051485,2845.1933492051485,3097083
2021-03-16,2909.7978515625,2938.754974442185,2862.9704622072863,2862.9704622072863,4894756
2021-03-17,2912.510498046875,2951.852990080579,2886.640942766737,2905.0724355626617,3838390
2021-03-18,2840.983154296875,2943.8535508373197,2794.7172302856447,2924.6735229555197,3656306
